% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 84.45    0.000972         486         2         1 wait4
  3.21    0.000037          37         1           clone
  2.95    0.000034           1        31         5 newfstatat
  1.13    0.000013           1        11         2 ioctl
  0.96    0.000011           1         7         2 access
  0.87    0.000010           1         7           read
  0.87    0.000010           1         9           openat
  0.78    0.000009           0        13           rt_sigprocmask
  0.78    0.000009           4         2           getdents64
  0.52    0.000006           0         9           close
  0.52    0.000006           0         7           getuid
  0.52    0.000006           0         7           getgid
  0.52    0.000006           0         7           geteuid
  0.52    0.000006           0         7           getegid
  0.35    0.000004           1         3           lseek
  0.26    0.000003           0         4           brk
  0.26    0.000003           1         3         1 fcntl
  0.17    0.000002           0        16           rt_sigaction
  0.17    0.000002           2         1           dup2
  0.09    0.000001           1         1           rt_sigreturn
  0.09    0.000001           0         3           prlimit64
  0.00    0.000000           0        14           mmap
  0.00    0.000000           0         5           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.001151           5       192        12 total
