% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 79.38    0.001540         385         4         2 wait4
  4.43    0.000086          43         2           clone
  3.35    0.000065           1        41         9 newfstatat
  1.44    0.000028           3         9           openat
  1.13    0.000022           1        20           rt_sigprocmask
  1.03    0.000020           1        14           mmap
  0.98    0.000019           1        18           rt_sigaction
  0.88    0.000017           1        12         2 ioctl
  0.88    0.000017           1        11         2 access
  0.62    0.000012           1        11           getuid
  0.57    0.000011           2         5           mprotect
  0.57    0.000011           1        11           geteuid
  0.57    0.000011           1        11           getegid
  0.52    0.000010           1         8           read
  0.52    0.000010           1         9           close
  0.46    0.000009           0        11           getgid
  0.46    0.000009           4         2           getdents64
  0.31    0.000006           6         1           munmap
  0.21    0.000004           1         4           lseek
  0.21    0.000004           1         4           brk
  0.15    0.000003           3         1           dup2
  0.15    0.000003           1         3           getpid
  0.15    0.000003           1         3         1 fcntl
  0.15    0.000003           3         1           sysinfo
  0.15    0.000003           1         3           getppid
  0.15    0.000003           1         3           prlimit64
  0.10    0.000002           1         2           rt_sigreturn
  0.10    0.000002           2         1           futex
  0.10    0.000002           2         1           getrandom
  0.05    0.000001           1         1           uname
  0.05    0.000001           1         1           getpgrp
  0.05    0.000001           0         2         1 arch_prctl
  0.05    0.000001           1         1           set_tid_address
  0.05    0.000001           1         1           rseq
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.001940           8       238        17 total
